he_displaced_threshold_ft,lighted,le_displaced_threshold_ft,le_elevation_ft,airport_ref,le_longitude_deg,surface,airport_ident,he_longitude_deg,width_ft,le_heading_degT,he_latitude_deg,length_ft,he_heading_degT,he_elevation_ft,id,le_ident,he_ident,le_latitude_deg,closed
,0,,,6801,,TURF,04VT,,40,,,1300,,,252792,06,24,,0
394,1,190,1021,6802,-92.9001,ASPH-G,04W,-92.8902,75,66,46.0244,2751,246,1009,253744,06,24,46.0213,0
,0,,,6803,,TURF,04WA,,60,,,1800,,,257588,N,S,,0
,0,,,6804,,TURF,04WI,,100,,,1800,,,252584,09,27,,0
,0,,,45903,,ASPH,04WN,,60,,,4100,336.5,,264555,11,29,,0
,0,,,6805,,CONC,04WV,,40,,,40,,,269449,H1,,,0
,0,,,6806,,ASPH,04XS,,60,,,80,,,269450,H1,,,0
,0,,,6807,,TURF-GRVL,05AK,,75,,,2000,,,249330,01,19,,0
,0,,,6808,,ASPH,05AL,,50,,,1600,,,265084,H1,,,0
,0,,,6808,,ASPH,05AL,,50,,,1600,,,265085,H2,,,0
,0,,,6808,,ASPH,05AL,,50,,,1600,,,265086,H3,,,0
,0,,,6808,,ASPH,05AL,,50,,,1600,,,265087,H4,,,0
,0,,,6808,,ASPH,05AL,,50,,,1600,,,265088,H5,,,0
,0,,,6808,,ASPH,05AL,,50,,,1600,,,265089,H6,,,0
,0,,,45302,,TURF,05AR,,100,,,2000,263,,264096,06,24,,0
,0,,,6809,,CONC,05AZ,,40,,,40,,,265090,H1,,,0
,0,,,6810,,WATER,05B,,200,,,4000,,,251991,NW,SE,,0
,0,,,6811,,CONC-G,05CA,,78,,,78,,,265091,H1,,,0
340,1,840,618,6812,-122.397,ASPH-G,05CL,-122.386,60,116,38.6086,3700,,618,240517,10,28,38.6131,0
,0,,,6813,,TURF,05CO,,60,,,2650,,,257870,18,36,,0
,0,,,6814,,ASPH,05CT,,50,,,50,,,265092,H1,,,0
,0,,,6815,,TURF,05FA,,100,,,2950,,,251765,08,26,,0
,0,,,6816,,TURF,05FD,,95,,,95,,,265093,H1,,,0
385,0,420,,6817,,TURF,05FL,,60,,,3200,,,258062,09,27,,0
,0,,,6817,,TURF,05FL,,50,,,1600,,,258063,15,33,,0
,0,,,6818,,ASPH,05GA,,60,,,2200,,,256136,18,36,,0
,0,,,6819,,TURF-P,05IA,,65,,,2450,,,252492,09,27,,0
,0,,,6820,,TURF-GRVL,05ID,,70,,,2000,,,249604,03,21,,0
,0,,,6821,,TURF,05II,,100,,,1800,,,252030,09,27,,0
675,0,700,,6822,,TURF,05IL,,70,,,3200,,,255177,10,28,,0
